Structure [idcode]	label	fragment	type	risk
dg\d`LF[a@BLddJbbQvfmPLA@@@	r3	mol	reproductive	high
dg\h@Fd{AIfUWxUZABI`Hj@	r3	mol	reproductive	high
dg\h`LJfd@aJ[Ywkaijejh@@	r3	mol	reproductive	high
dg]B@NTBNtfY}[fyjVjf`@	r3	mol	reproductive	high
dg]D`NV]BHRYWVyih@JZh@@	r3	mol	reproductive	high
dg]HPAuPbBbDfYw[fzB@ij@@	r3	mol	reproductive	high
dg]H`AuPbDfY_[fz@`ij@@	r3	mol	reproductive	high
dg]L`LnDD@cIIBhhd]ikTC@P@@	r3	mol	reproductive	high
dg^@@@RigvuNzjk@@@@	r3	mol	reproductive	high
dg^B@BAEoHiihdhUNmT@QP@@	r3	mol	reproductive	high
dg^B@BAMoHiieDeBimU@DP@@	r3	mol	reproductive	high
dg^DPNI`BDBDfumeSmZf`@@@	r3	mol	reproductive	high
dg^D`INpbLbdTJTv`kU@DS@@@	r3	mol	reproductive	high
dg^D`La@BLddLTRRIvmTE@@@@	r3	mol	reproductive	high
dg^H@DCHhhhddYimTE@P@@	r3	mol	reproductive	high
dg^L@EACR[YWVFVh@JX@@	r3	mol	reproductive	high
dg^L`Iia@HrIQPjZIG]TtuU@@	r3	mol	reproductive	high
dg^LpDx{BHjHVHrJIQPiZLLADUL@@	r3	mol	reproductive	high
dg_@pNfpqDBCBDfUyWbjfijfPad	r3	mol	reproductive	high
dg_BAHJ`QSbT{HiheBidwMMUUR@@	r3	mol	reproductive	high
dg_L`LfxPPBLddJbbQvfmPLA@@@	r3	mol	reproductive	high
dgl@P@SHbDjmUUZjjjh@@	r3	mol	reproductive	high
dglB@@Q]RYUumZjjZ`@	r3	mol	reproductive	high
dglFPHSItpBEBLddNRRTbuUTl@@	r3	mol	reproductive	high
dglP@@anESoIDhhd\iMSMS@dWP	r3	mol	reproductive	high
dgll@DrSAmRYV^uZiik``X	r3	mol	reproductive	high
dgmFPBnDr]L@aPcIICddeHmUUK@@	r3	mol	reproductive	high
dgmL`DVCl@cIICDmihmUUS@@	r3	mol	reproductive	high
dgnNPKaLXYTOBoCIIKHiMTuUMU@@	r3	mol	reproductive	high
dgoL`LD~gPBLdTtTjTuMSTt@@	r3	mol	reproductive	high
dg|@@DjU_eZx{BAH@@BJ`	r3	mol	reproductive	high
dg|@P@bEbLbbbTVbKR]pP@P@@@	r3	mol	reproductive	high
dg|D@@MIfV]UivviP`R@@	r3	mol	reproductive	high
dg|H@@RVUvU[cm`@`@@@@	r3	mol	reproductive	high
dg|H@@RVUvU[cn`@`@@@@	r3	mol	reproductive	high
dg|L@@t|bbbbbJcBmm@tCD@@	r3	mol	reproductive	high
dg|d@Dq]@\bbbbfJSSimUSTs@@	r3	mol	reproductive	high
dg|laLJce]@HjUyJYn[gFNzZZYj`@	r3	mol	reproductive	high
dg}DPEtYBHXHrJIJZQGUvg@DKUB@@	r3	mol	reproductive	high
dg}H@IlLdTrTraS]Jt@EMQ@@	r3	mol	reproductive	high
dg}L@hdDNISid~R[fV]F]mh@@H@@@	r3	mol	reproductive	high
dg}L`JXiTIAIf]VunNzVjZj`@	r3	mol	reproductive	high
dg~D@D@\bbTbTjQL]mUR@D@@	r3	mol	reproductive	high
dg~D@IB|dTrTraS]Jt@EMQ@@	r3	mol	reproductive	high
dg~D`LS`BDfUueRh{Zjh@H@@	r3	mol	reproductive	high
dg~L`EF[BHRYVyukev@HZiH@@	r3	mol	reproductive	high
dg@PBWPbAbLbbbRfaSR]pPTMQ@@	r3	mol	reproductive	high
dgH@DjprJIQEQIMqvuRp@P@@	r3	mol	reproductive	high
diD@X@dDdLdJdNdAdLbdLtjjh@@	r3	mol	reproductive	high
diD@`@RdjeVjj`@	r3	mol	reproductive	high
diDB`HSB@HrRPiIZj`@	r3	mol	reproductive	high
diDD@@QImVZjh@@	r3	mol	reproductive	high
diDD@@QImZZjh@@	r3	mol	reproductive	high
diDD@@QIn]Zjh@@	r3	mol	reproductive	high
diDH@@RVUjjj@@	r3	mol	reproductive	high
diDH@@RYWZjj@@	r3	mol	reproductive	high
diDH@@RYuVjj@@	r3	mol	reproductive	high
diDL@@Pdf]ijj`@	r3	mol	reproductive	high
diDL@@RdfUUjj`@	r3	mol	reproductive	high
diDL@@idiUVjj`@	r3	mol	reproductive	high
diDL@@xTiUVjj`@	r3	mol	reproductive	high
diDLB@PTyInuZZh@@	r3	mol	reproductive	high
diE@@@aJuUjjh@@	r3	mol	reproductive	high
diEL@HPJyIYvZjX@@	r3	mol	reproductive	high
diEL@HhNEIgVZjX@@	r3	mol	reproductive	high
diFD@AADfuUjj`@	r3	mol	reproductive	high
diFD@BADf{Yjj`@	r3	mol	reproductive	high
diFD@FADfumjjP@	r3	mol	reproductive	high
diFD`JxPBDivzji`@	r3	mol	reproductive	high
diFD`JxPBLbdTljjX@@	r3	mol	reproductive	high
diFD`JxPQDivzji`@	r3	mol	reproductive	high
diFHPF`@`PaJoUZjT@@	r3	mol	reproductive	high
diFJAHALXXgNRYvvjj@@	r3	mol	reproductive	high
diF`@@SNGHhhcFjf@@	r3	mol	reproductive	high
diG@@@HTeUWjjp@	r3	mol	reproductive	high
diGD@HQ`kHeECFij@@	r3	mol	reproductive	high
diGD@HhPyIUVZjX@@	r3	mol	reproductive	high
diGL@HQ`h\bTTQZfh@@	r3	mol	reproductive	high
diT@@DjV]nxVjihHB@	r3	mol	reproductive	high
diTH@@ReUxRfjjf`@	r3	mol	reproductive	high
diTH@@RgeXSaj@B@@	r3	mol	reproductive	high
diV@@@RfU|kadHB@@	r3	mol	reproductive	high
did@@DjYUaBHP@@	r3	mol	reproductive	high
did@@LdbRQk``b@@	r3	mol	reproductive	high
did@`@bDfUff`@h@@	r3	mol	reproductive	high
didD@@EIfU[ffiP@	r3	mol	reproductive	high
didD@@EIfU[hBB@@	r3	mol	reproductive	high
didD@@GHhdhZZ@B`@@	r3	mol	reproductive	high
didD`BD@aIf][hHB@@	r3	mol	reproductive	high
didD`BDHaIf][hHB@@	r3	mol	reproductive	high
didD`BDHaIf_[hHB@@	r3	mol	reproductive	high
didD`BDLQIf][hHB@@	r3	mol	reproductive	high
