Structure [idcode]	label	fragment	type	risk
gNxhMV@aI[ji`LBHmrL	m2	pattern	mutagenic	medium
gChhMDOBNtA`enP@	m2	pattern	mutagenic	medium
gC``AdeY@pbyH	m2	pattern	mutagenic	medium
daDH@@RVU[f@@@LJcB[nQP	m2	pattern	mutagenic	medium
daE@@@aJyUnh@@@pXHpj[d\	m2	pattern	mutagenic	medium
daFH@NAIe^f`@`@piLJny@@	m2	pattern	mutagenic	medium
gFxHL@aJYujj@pHboEb	m2	pattern	mutagenic	medium
daF@@@RYe[hB@@LJ@j[nQ`	m2	pattern	mutagenic	medium
daFH@HAIYUnh@@@pXHpj[d\	m2	pattern	mutagenic	medium
eFPBca@	m2	pattern	mutagenic	medium
daE@@@aJyUnX@@@`	m2	pattern	mutagenic	medium
gCe@E`dkPFBbyL	m2	pattern	mutagenic	medium
fH`XA@	m2	pattern	mutagenic	medium
gGPBADZPLaYAIZjhB	m2	pattern	mutagenic	medium
gJPDADFHRUj`H	m2	pattern	mutagenic	medium
gCd@ADiZDE@	m2	pattern	mutagenic	medium
gJY@DDeZhCCSGbB@	m2	pattern	mutagenic	medium
gGX`LDdsmTA`m^P`	m2	pattern	mutagenic	medium
eMBBHRYCAKd`	m2	pattern	mutagenic	medium
dkNF@BAIWSR[YVYjjfX@`	m2	pattern	mutagenic	medium
eF`BJFE\`	m2	pattern	mutagenic	medium
da{@`Dq`BLbbbKUR@P	m2	pattern	mutagenic	medium
daDD@@yIe^fZVX@pSBxbT	m2	pattern	mutagenic	medium
daD@@DjWZXHB@C@dpnxdL	m2	pattern	mutagenic	medium
dmNH@HCHhheDVzU`@@@@H	m2	pattern	mutagenic	medium
gFy@LDidviXB	m2	pattern	mutagenic	medium
dmv@`LCDRUVUeZj@@@H	m2	pattern	mutagenic	medium
gNxDLLQxbRjuU@P	m2	pattern	mutagenic	medium
daDH@@RYVih@H@LBrf{b@`	m2	pattern	mutagenic	medium
daG@`LK`BDimVz`@@B	m2	pattern	mutagenic	medium
deUD@DhBRY[TYZ`@@B	m2	pattern	mutagenic	medium
deUD@DdBRY[TYZ`@@B	m2	pattern	mutagenic	medium
daEH@LXDeYVzje`C@`RnxdD	m2	pattern	mutagenic	medium
eMBCDRYCAGe@	m2	pattern	mutagenic	medium
gGPXHlQxIU[U@XR|VH	m2	pattern	mutagenic	medium
fH`TA@	m2	pattern	mutagenic	medium
eFJHqHpP	m2	pattern	mutagenic	medium
daxD@@QIeyjZBBlLpnyC@	m2	pattern	mutagenic	medium
gGP@Di^VaHxTQF|f@	m2	pattern	mutagenic	medium
dctH@@RgUUZYfY@dRVQX	m2	pattern	mutagenic	medium
eFBBDcA@	m2	pattern	mutagenic	medium
eMBBHRYCAGe@	m2	pattern	mutagenic	medium
gJQHBHaInZ@`	m2	pattern	mutagenic	medium
gGUHEhOAJmZhB	m2	pattern	mutagenic	medium
dmLH@@RgVUaIVj`@`@`	m2	pattern	mutagenic	medium
gOx@@eR}XP@AaXl[rL	m2	pattern	mutagenic	medium
dcnH@JAIYe[yYu`@@@@H	m2	pattern	mutagenic	medium
dev@@@RfV^nFP@@@@LFPj[iy@`	m2	pattern	mutagenic	medium
dmM@@@WIEDhlZxY@@@`@H	m2	pattern	mutagenic	medium
gOx`DBdwQkUTA@	m2	pattern	mutagenic	medium
dclD@@UIfV][iuhFAH@LJiag^Q`	m2	pattern	mutagenic	medium
gJPDADXHRVj`H	m2	pattern	mutagenic	medium
gJPDAbGDRUj`H	m2	pattern	mutagenic	medium
gJQHBLQIVj@`	m2	pattern	mutagenic	medium
gNt`Bpdf{Zj@pJqoHp	m2	pattern	mutagenic	medium
eMdDhzB	m2	pattern	mutagenic	medium
fHehA@	m2	pattern	mutagenic	medium
fHfpAa@	m2	pattern	mutagenic	medium
fHchA@	m2	pattern	mutagenic	medium
gOq@@drm[RtA`Uc^Q`	m2	pattern	mutagenic	medium
gFx`LDdrfmU@XHwdp	m2	pattern	mutagenic	medium
eMhDRUB	m2	pattern	mutagenic	medium
eFbHbHpP	m2	pattern	mutagenic	medium
eMJDBDf`pQyP	m2	pattern	mutagenic	medium
dcLL`NWPbDfUuZf`@jX@H	m2	pattern	mutagenic	medium
gNx`JDdskUPFDwLZp	m2	pattern	mutagenic	medium
gJX`DBdru@XS\RH	m2	pattern	mutagenic	medium
diDDPNDHc@aIUVjjX@`	m2	pattern	mutagenic	medium
gChHL@aIVPH	m2	pattern	mutagenic	medium
gJXhEBOAJuj@`	m2	pattern	mutagenic	medium
eMJDbDf`pQyP	m2	pattern	mutagenic	medium
daFD@DAdegfyjj`B	m2	pattern	mutagenic	medium
dmNh@DkaTDfVYVzUZiZi@H	m2	pattern	mutagenic	medium
daDD@@IIf]nfih@`	m2	pattern	mutagenic	medium
daG@@@kdiVrX@a@C@hPfyG@	m2	pattern	mutagenic	medium
dcnL`LaA@HrRPjIKTrzmPHD@FEYtkh	m2	pattern	mutagenic	medium
eOHBNZP`	m2	pattern	mutagenic	medium
diVH@BAIfUInFjZi@H	m2	pattern	mutagenic	medium
gJPDADFHRUfaIP	m2	pattern	mutagenic	medium
gNqDLHaqBRjuU@P	m2	pattern	mutagenic	medium
gNpDAbODRUVjhB	m2	pattern	mutagenic	medium
gGX`BDdjmTA`m^JD	m2	pattern	mutagenic	medium
didHPBBHFHRYgvzB@`@`	m2	pattern	mutagenic	medium
gJXHD@aIUZ@`	m2	pattern	mutagenic	medium
difH`NDIAIe]ih@J@B	m2	pattern	mutagenic	medium
daE@@@IIf]n``@@pHLJnHw@	m2	pattern	mutagenic	medium
gJPDADFHRYfaIP	m2	pattern	mutagenic	medium
diFL@JANRY]fjf@LLJayF@	m2	pattern	mutagenic	medium
die@@@YJYYhP`X@CBdJnGdL	m2	pattern	mutagenic	medium
gGTHE`DIJkSBZppUxhP	m2	pattern	mutagenic	medium
eMbDBDfp`	m2	pattern	mutagenic	medium
deVH@DAIgeQej@@@LJrfx^Hd`	m2	pattern	mutagenic	medium
dcN`@@pjYJYenk`Hbj@B	m2	pattern	mutagenic	medium
didh@DJaAIVUxZ`@@B	m2	pattern	mutagenic	medium
dcNL@BA]RYe]VEjVih@`	m2	pattern	mutagenic	medium
gNxhIV@aJUji`H	m2	pattern	mutagenic	medium
dcNL@LANRYygiUjB@`@`	m2	pattern	mutagenic	medium
did`@@pjrQQIFf@`h@LLKaxbL	m2	pattern	mutagenic	medium
dmvH@NAIfUTUZBB@@p[BiaWdR	m2	pattern	mutagenic	medium
dmuH@DpDfWeYUj`@@CAlInF^Hb`	m2	pattern	mutagenic	medium
fH`PAa@	m2	pattern	mutagenic	medium
fHd`Aa@	m2	pattern	mutagenic	medium
eFJHaHhP	m2	pattern	mutagenic	medium
foA@R@HHpx@QddebRfRpiFlm@@@P@A@	m2	pattern	mutagenic	medium
dmLH@@rJJIQEneX@@@@CB`kaWfXt`	m2	pattern	mutagenic	medium
dmLH@@RYVuiiV@@@@@phJxYybXh	m2	pattern	mutagenic	medium
fgA`@@@ISLrotyHvk@@@@@@@P	m2	pattern	mutagenic	medium
daFH@HAIYUnh@@@pKBinXD\	m2	pattern	mutagenic	medium
fduH@@@X]GIEEMDdehUbbkF|FKT@@ACPP@P	m2	pattern	mutagenic	medium
f`iH@@@TdyJYW^U|TxJsiB@jjh`@`	m2	pattern	mutagenic	medium
dmM@@@qJY{WJeVj@B@CCdrfxYyB`	m2	pattern	mutagenic	medium
dcmH@AdDfUvVfWX@IjH@`	m2	pattern	mutagenic	medium
diV@@@RfU|kahDB@CB`JfGbIp	m2	pattern	mutagenic	medium
ffsa@@G@RfYU_yUTVeFCDmZ@@@JZ@@@@H	m2	pattern	mutagenic	medium
eMJDBDe`pQyP	m2	pattern	mutagenic	medium
flua@`IJAHFdKRCi@hRDQHQDaHaHFJLuzJX@Jfjja`@`	m2	pattern	mutagenic	medium
fhyA`@@B|dsLsKnqVgVBt@Q@BP@A`s`mFlGbIN@	m2	pattern	mutagenic	medium
fbmAP@@BBgJSLsLoOkEZ]ZKPAD@RU@@D	m2	pattern	mutagenic	medium
daE@@@yJe~fB@`@`	m2	pattern	mutagenic	medium
foAa@@D@RYYeUuVLyj@@@@@CBRJLxJRmFxbs`	m2	pattern	mutagenic	medium
fdyQ@@DA@drsJkzjlYsT@@@T`@D	m2	pattern	mutagenic	medium
fhiq@@D^BAIefUWuUcNZ`@@B`@B	m2	pattern	mutagenic	medium
dcNL`LaI@HrREQISBjt@Q@AaVTp{q@T	m2	pattern	mutagenic	medium
dg^L`LaM@HrRPiSISJZuPAD@D	m2	pattern	mutagenic	medium
fgA@@@LdbbbTVKIBMjp@@@@@@D	m2	pattern	mutagenic	medium
f`iA`@@F\eLsJmmARmku@A@QD@@P	m2	pattern	mutagenic	medium
fnk@P@@FbuIefYZWz^`mA|gMVfjjjjjjj@B	m2	pattern	mutagenic	medium
dmLH@@RfY]raV`XD`@phj[axdj	m2	pattern	mutagenic	medium
foAA@@@ISLjoxmJMP@@AH@AaKAJLxJRk\PYp	m2	pattern	mutagenic	medium
fnsAH@@LDjwdu[dTTTTTiRbTVWAZMdkPSDEUUUD@D	m2	pattern	mutagenic	medium
foIQ@@BJ@dsJsllepQkF\uKUUTt@D	m2	pattern	mutagenic	medium
foAaB@G\ADILkkJ}FFm@AP@P@A@	m2	pattern	mutagenic	medium
dk\H@@RfY]JEZA`RXBAh	m2	pattern	mutagenic	medium
f`qQ@@G^@eLrjpmJMP@@AL@@XJpRcNBdiwnPL	m2	pattern	mutagenic	medium
fdyQ@@OA@eLrj~lbthu@@@EL`@D	m2	pattern	mutagenic	medium
fhyi@@DTxIPLbbTTRqbRYrRoAZiYh@J@@`	m2	pattern	mutagenic	medium
f`i@`@@DRYfyU]`mNmyi`@@B@@H	m2	pattern	mutagenic	medium
daF@@@RYWifef@H	m2	pattern	mutagenic	medium
daF@@@RYe[hB@@LB@j[bYp	m2	pattern	mutagenic	medium
fhe@@@LdbbbbbqQXXUiJ|DB@H@@B@@`	m2	pattern	mutagenic	medium
fnk@a@CM@DVdLbbdRQbTQdrvIrRoAKVjjjjjiYj`@p]`eF\EKQoQSdoD@`	m2	pattern	mutagenic	medium
fa{@c@K]@DHBGRFQRZQIFIQFSKZ`eZCFkZjjjjjiYj`@`	m2	pattern	mutagenic	medium
det@@DjYUX^d@@@@CAlJnF^Hc@	m2	pattern	mutagenic	medium
deth@DkiAIeeVxYZiZd@pQAxaT	m2	pattern	mutagenic	medium
dcNL`LaE@HrRPzIJSju@D@AaVDwSqEt	m2	pattern	mutagenic	medium
dk]@@@qJY{W\jUZh@I`@`	m2	pattern	mutagenic	medium
dmN@@@rRJKQEneP`@@@B	m2	pattern	mutagenic	medium
few@`@@HrJYJJZQIFYJSKJmxNRcfuUUUUUUUUP@XUQ`eF\dkQkN|FNRu[t_HS@	m2	pattern	mutagenic	medium
deVH@DAIgeQej@@@LJSJX^It`	m2	pattern	mutagenic	medium
daFH@NAJYJifx@`	m2	pattern	mutagenic	medium
eMdHTf`|rP	m2	pattern	mutagenic	medium
gJY`DLTefhB	m2	pattern	mutagenic	medium
diFH`Bp@cIECDjZj@H	m2	pattern	mutagenic	medium
deTB@@RirJIPqTsUUT@P	m2	pattern	mutagenic	medium
dmtL@@slbTtTLpfjjj@H	m2	pattern	mutagenic	medium
dmNH@BAIfUmiEX@@@@CC`qnFU@	m2	pattern	mutagenic	medium
dg\D@@eIVUuWaZ@Bj`@peBinWSodP	m2	pattern	mutagenic	medium
fgA@@@DjYU_VByHu`@@@@@@H	m2	pattern	mutagenic	medium
dclH@@rIQQJH|J{P@@@@D	m2	pattern	mutagenic	medium
dk@@@p\dTRbfQjVGSBBheF@H	m2	pattern	mutagenic	medium
dk}@@@iJUmUR[atzjZ@H@C@PPje]OdP	m2	pattern	mutagenic	medium
dk}@@@yJUmmRkatp@h@B@B	m2	pattern	mutagenic	medium
fgAp@@@XheLvnjs`iFlDPT@@@A@	m2	pattern	mutagenic	medium
fgAP@@@LrQQJEIITxJQk@QE@@@@P	m2	pattern	mutagenic	medium
dcm@@@EJYYwietB@P@@H	m2	pattern	mutagenic	medium
dif@@@RYWZZ@BP@pXDpj{dB	m2	pattern	mutagenic	medium
dg}B@DpAV|bbbRbrK]imUMMU@FGXU]IwrM@	m2	pattern	mutagenic	medium
dg|H`FBHRYV~Ukcn@H`@@@pdDrne]OdV	m2	pattern	mutagenic	medium
dg|@@DjU_eZx{BAH@@BJlMaLJfe]N~Qp	m2	pattern	mutagenic	medium
gGQhHjOAJmZhCBGfFh	m2	pattern	mutagenic	medium
gGT`EaTf]j`LDkqX`	m2	pattern	mutagenic	medium
fgA`@@@YHheEhTj\EHu`@@@@@@H	m2	pattern	mutagenic	medium
f`i@`@@VRYfYU]`eNMyh@`AB@@LFRUhso\QS`	m2	pattern	mutagenic	medium
ffc@p@@DEkM\bbbfbTtRrLKAF|dkTaQ@DDT@@P	m2	pattern	mutagenic	medium
foQPB@F\@DYHheBeLdRdeV]Th@@D@@P	m2	pattern	mutagenic	medium
dcoH@NWPRVUmVFUX@ah`B	m2	pattern	mutagenic	medium
f`i@`@@VRYfYU]`eNMyh@`AB@@LF\Uhso\QRP	m2	pattern	mutagenic	medium
fhy``@A@|dsLsKnqVgVBt@Q@BP@A@	m2	pattern	mutagenic	medium
fde@P@@J]{HhhhhhdeBpV`vbt@Q@LD@@XLUjw`qxca`	m2	pattern	mutagenic	medium
daFL@NAFR[e[fff@H	m2	pattern	mutagenic	medium
f`i@`@@VRYfYU]`eNMyh@`AB@@LN\dkQg^yB`	m2	pattern	mutagenic	medium
dk\D@@qIY[mZ{SZZ`@P@`	m2	pattern	mutagenic	medium
dk]L@LxDMIe]eRkSZjjjh@`	m2	pattern	mutagenic	medium
dclD@@IIf]U[evjj@@@H	m2	pattern	mutagenic	medium
fgA`@@@ISKJntXKQk@@@@@@@P	m2	pattern	mutagenic	medium
fduP@@@FRe[Y]mRTDhu`q@@BJ@@H@B	m2	pattern	mutagenic	medium
gGPdMQDGpRUYiDe@	m2	pattern	mutagenic	medium
deT@@DjUghP`h`@pYL[agfPU@	m2	pattern	mutagenic	medium
dg]D@LlMrIJJIIHj]UAAD@D	m2	pattern	mutagenic	medium
f`iA`@@BUdTTTTTRqXKSk^Z@H`@`@B	m2	pattern	mutagenic	medium
fgAP@@@\RfYe_irQmV@@@@@@@`	m2	pattern	mutagenic	medium
dmw@`Dq`BDeUeYUi`@@cJ	m2	pattern	mutagenic	medium
diV@`J@HRfU|kahDB@CB`PfGd\	m2	pattern	mutagenic	medium
fgAPB@LD@DISJJdhsakTuT@D`@P	m2	pattern	mutagenic	medium
gGThEXQxIVsS@P	m2	pattern	mutagenic	medium
dk^@@@RfYU\]Tz@@@@@LECBinFUOdZ	m2	pattern	mutagenic	medium
fgA@`@@\RfYe_irQmVh@`@H@@`	m2	pattern	mutagenic	medium
diT`@@rnRfUjEnejfPB	m2	pattern	mutagenic	medium
f`ih@@@XIQVRJJIIZEIgIJ]xB`j@@P@H	m2	pattern	mutagenic	medium
dcn`@@xYUIYeg[ewiBHH@H	m2	pattern	mutagenic	medium
dmtH@@RYWUih@IhBN\NALJiWb\H	m2	pattern	mutagenic	medium
f`qAA@A@bOQBSJ{\ktYYt@EP@P@A@	m2	pattern	mutagenic	medium
fdy@P@@BtGHhhhheEcliuoM@DD@T@@P	m2	pattern	mutagenic	medium
deu@@@[IEDhcSCH@@@@FAEpsqDh	m2	pattern	mutagenic	medium
dcm@@@{IEEEDcWSh@PD@@P	m2	pattern	mutagenic	medium
foAP`@DXAIIfU^uYrsfjjP@`@H	m2	pattern	mutagenic	medium
det@@DjYUX^d@@@@CBlJngfHp`	m2	pattern	mutagenic	medium
dclh@LX]AIVYWxUuj`PH@H	m2	pattern	mutagenic	medium
gJP`@TeVhCCSGdP	m2	pattern	mutagenic	medium
daxL@@RdfVVjh@ppj[bYp	m2	pattern	mutagenic	medium
dg~@@@RYfUWd}mh@@@@@pdBinFUwbGX	m2	pattern	mutagenic	medium
difH@HAIfuxZ`@@B	m2	pattern	mutagenic	medium
dmtD`NTLQIe]Vf`@jP@`	m2	pattern	mutagenic	medium
gOqHF@aJW\ZVXCCA[be@	m2	pattern	mutagenic	medium
dk^@@@RfYU\]Tz@@@@@LICBinFUxff	m2	pattern	mutagenic	medium
dk}@@@iJUmUR[atpBJ@@@CChPiWSyE@	m2	pattern	mutagenic	medium
dk^@@@RfYU\]Tz@@@@@LI@j[aeSxfZ	m2	pattern	mutagenic	medium
deUH@JdDin_xZB@`@pqB[fUt`	m2	pattern	mutagenic	medium
detH@@RfUWJzZABH@LBInGbIH	m2	pattern	mutagenic	medium
foQAB@C@BDifYU^gIVtz`B@DH@@`	m2	pattern	mutagenic	medium
gBQHDHaIejhB	m2	pattern	mutagenic	medium
daG@`D[`bDfUjZ@B@CA@sbUp	m2	pattern	mutagenic	medium
didHPACDZHrJIJFn`BH@H	m2	pattern	mutagenic	medium
dknDPLa@BABLddJbTVtujAH@@`	m2	pattern	mutagenic	medium
dayDPLZD@HhHrRESKSPAafTwDC`	m2	pattern	mutagenic	medium
gNxHD@aIUVj`LFEcWrP	m2	pattern	mutagenic	medium
diEDPLZD@HhHrRESIZZ`B	m2	pattern	mutagenic	medium
dayH@DpDf]Vjh@piBinyF@	m2	pattern	mutagenic	medium
deV@@@RfyWahBB@CBj[agf@a@	m2	pattern	mutagenic	medium
dmtB`HSBCprRSFIJUZh@@@pInF^YaJ	m2	pattern	mutagenic	medium
dif@`D@HRVU^Ejjh@`	m2	pattern	mutagenic	medium
dmL`@@siRfUmhVxHFJH@`	m2	pattern	mutagenic	medium
gO}@EfDfUkZZPH	m2	pattern	mutagenic	medium
gCe@E`dmHD	m2	pattern	mutagenic	medium
deUL@DpFgHhdhUWMTuHA@	m2	pattern	mutagenic	medium
dclD@@EJY}erevfVfiBJh	m2	pattern	mutagenic	medium
dk\H@@RYeg]ntxB@P@@H	m2	pattern	mutagenic	medium
dk\D@@MJ[Vuvy]h@@B@@`	m2	pattern	mutagenic	medium
foAaB@KN@DISLjoxmJMP@@AP@A@	m2	pattern	mutagenic	medium
daFH@HAIYUnh@@@phHpfxe\	m2	pattern	mutagenic	medium
gF|@AbeLzmS@XKWbQ@	m2	pattern	mutagenic	medium
dcoH@DJ`RUeUVy]ZZ`@@CBdhYwbPh	m2	pattern	mutagenic	medium
dmOH@FePRYVukaf@HZH@`	m2	pattern	mutagenic	medium
fhiA`@@Hddjrm|jIW`mPAD@@@A@	m2	pattern	mutagenic	medium
dmL`@@[aRfV[hYVPb``@`	m2	pattern	mutagenic	medium
deVD@LADfvUFVjjh@p{BinF^P`	m2	pattern	mutagenic	medium
fhi``@L@PdssLjn[s`mU@@@@@A@	m2	pattern	mutagenic	medium
dk|@`@BDie^urnGShD@@`@H	m2	pattern	mutagenic	medium
deVH@BAIemQfk@@@H	m2	pattern	mutagenic	medium
f`qa@@O@rQQQIISGBtju@@@QX@A@	m2	pattern	mutagenic	medium
fbc@@@LdbbbbbRJvcEBMIpTqrAD@@@@@@@D	m2	pattern	mutagenic	medium
dcl@`@BLbTTRbOBnt@@@@A`LDwCJ{r@@	m2	pattern	mutagenic	medium
fdu@P@@JMGIEEDhhhhgPPkR\kUUSUUUUP@P	m2	pattern	mutagenic	medium
gFxHH@aJUqiZ@ppMyD	m2	pattern	mutagenic	medium
flu@P@@B\EIfYfWgvJuztV`BHBDh@@`	m2	pattern	mutagenic	medium
fHbhA@	m2	pattern	mutagenic	medium
dcl@@DjYeeiGP@HH@@`	m2	pattern	mutagenic	medium
f`i@`@@VRYfYU]`eNMyh@`AB@@LF\ehso\QQP	m2	pattern	mutagenic	medium
fhy@@@LdbbbRQaREiQoA`@`@@@@@`	m2	pattern	mutagenic	medium
fhyQ@@CA@dsLjm{Jvg^Bt@@DCA@A@	m2	pattern	mutagenic	medium
f`q@Q@HH]x@QXHrRFIJYIZ\Ehrp@@Dh@A@	m2	pattern	mutagenic	medium
det@@DjYUX^d@@@@C@binxRXL`	m2	pattern	mutagenic	medium
dg|@P@bCbDfUnuj{[`B@B@@H	m2	pattern	mutagenic	medium
didHPBBHFHRYgVzB@`@pHLh^HW@	m2	pattern	mutagenic	medium
foAaB@GDADILroZ{AFmAA@@P@A@	m2	pattern	mutagenic	medium
foAaB@GLADILk_J}NFm@DP@P@A@	m2	pattern	mutagenic	medium
dc\@@DjYVYayYt@@H`PB	m2	pattern	mutagenic	medium
diDB@@SaR[eVfjBLh	m2	pattern	mutagenic	medium
foAP@@@NRYWVUzLMZ@B`@`@B	m2	pattern	mutagenic	medium
gOq@@drm]SRA@	m2	pattern	mutagenic	medium
didh@DqaAIe[kffjPB	m2	pattern	mutagenic	medium
deV@@@rIQIPmw@AH@XUaMp|bP	m2	pattern	mutagenic	medium
deVB@LAaeJYyzzjjj@LAaBinF^Q`	m2	pattern	mutagenic	medium
dk\H@@RYm[Watz`@@@@H	m2	pattern	mutagenic	medium
foAh@@@XIQRTsNj~sdm@P@QT@@P	m2	pattern	mutagenic	medium
dklB@@F]RYe]ynZYif`B	m2	pattern	mutagenic	medium
daF@@@RYVih@H@LLBnybXp	m2	pattern	mutagenic	medium
dknD@LADf^YWeVhBB`@`	m2	pattern	mutagenic	medium
dcNH`IDLQIe[^ih@Jj@B	m2	pattern	mutagenic	medium
dmO@@@bTieulhUfhB@@H	m2	pattern	mutagenic	medium
foQh@@@\eYvRJJJJUKTxkQk@AA@tD@D	m2	pattern	mutagenic	medium
flmAP@@LUyNQQQQEJQJI|Eish~BtuUUUUU@A@	m2	pattern	mutagenic	medium
dkm@@@QInUu^Eh@IdBIh	m2	pattern	mutagenic	medium
difH@JAJ[gxZB@@C@dJfxgB	m2	pattern	mutagenic	medium
foA@@@DkfYU]UcNz`@@@@@`	m2	pattern	mutagenic	medium
dk~@@@rRJIJJEi{UNhJHb`@`	m2	pattern	mutagenic	medium
deT@@DjY]zXFB@@pYLinGbEH	m2	pattern	mutagenic	medium
foAA@@@ILkjrmFV]@AL@@@arpdAFBTUhunXxIp	m2	pattern	mutagenic	medium
dcMH@EtLbbbRQc]@PLp@P	m2	pattern	mutagenic	medium
diTH@@RfU|kahDB@CCBknXcB	m2	pattern	mutagenic	medium
difH@DAInUxZ`@@CAhJfx^HB@	m2	pattern	mutagenic	medium
deVD@HCDi^UFZh@@@`	m2	pattern	mutagenic	medium
gNx`DJdssTpFBsyD	m2	pattern	mutagenic	medium
f`a``@M@EdbbRTQrdxj``hjh@C@rBTYpTeZl{wHX@	m2	pattern	mutagenic	medium
deT@@DjUghP`h`@pFDpj[iy@`	m2	pattern	mutagenic	medium
dcl@@DjYU_egX@@@@@pyLJag^XwJ	m2	pattern	mutagenic	medium
dmtL`HS@BLdaRbReUj@@@H	m2	pattern	mutagenic	medium
daxD@@QIUUjj@LJpj[nQ@	m2	pattern	mutagenic	medium
dcl@@DjYU_egX@@@@@p{J[ag^XaJ	m2	pattern	mutagenic	medium
daE@@@aJmUnjjh@`	m2	pattern	mutagenic	medium
gOr@ABtiYufjPH	m2	pattern	mutagenic	medium
fgApB@LLx@HRevUUpPTcViYj@H@@`	m2	pattern	mutagenic	medium
deth@DkiAIeeVxYZiZd@pqJGdD	m2	pattern	mutagenic	medium
foA@P@@\e[HhheEBcF\UihFHIh@B	m2	pattern	mutagenic	medium
fj}@P@@\ceIfVW{WVYrVoAZA``@JZ@@H	m2	pattern	mutagenic	medium
fbm@p@@BLEN\bbbbbbbrNwEZ|zKPADPBU@@D	m2	pattern	mutagenic	medium
dg|D@@iJYYytYvzB@@`@B	m2	pattern	mutagenic	medium
dmMH@HxLbbbTQ[iV@@@@@`	m2	pattern	mutagenic	medium
gNt@@\dbLjj@pJu_I@	m2	pattern	mutagenic	medium
dk\H@@Rf_YWJtzYX@HBJX	m2	pattern	mutagenic	medium
dg|@@DjU_eZx{BAH@@BJ\EaLine]ObEX	m2	pattern	mutagenic	medium
dg|@@DjU_eZx{BAH@@BJ\EaLJfe]Ob]X	m2	pattern	mutagenic	medium
f`q`@@@IKJzljsco\@Dp@@B@j	m2	pattern	mutagenic	medium
devH@IAJYW\kahDB`@`	m2	pattern	mutagenic	medium
dif@@@RYWZZ@B`@pYLJnGd@	m2	pattern	mutagenic	medium
dk_@@@Y\dTRbJtiad@@Bh@B	m2	pattern	mutagenic	medium
dk\D`HP@cIHXheDQgSV@@@@@pZnE]ObAH	m2	pattern	mutagenic	medium
dgL@Ds`f|bbTTtJuCimMUUS@FCTwJ]|P]@	m2	pattern	mutagenic	medium
foAq`@DXxBSlbbTTtJVhKQffjjjX@LATYpRmFmrC`	m2	pattern	mutagenic	medium
dcnH@IAJ[Vu[ev`@@@@LFSBE]yC@	m2	pattern	mutagenic	medium
dmM@@@[IEDhhZdU@B@@@LJRnF^Hr`	m2	pattern	mutagenic	medium
f`iP`@B\@aInVUuQRUiwfjij@H@@`	m2	pattern	mutagenic	medium
dc\@@DjYVYayYt@@H``B	m2	pattern	mutagenic	medium
fgAa`@N@t[HhheDTdsdeFltC@UQ@A@	m2	pattern	mutagenic	medium
deTD`HP@cIHXhdLk@P@A`UMp|PI@	m2	pattern	mutagenic	medium
die@@@GHhhdVz@``@pKBinH@`	m2	pattern	mutagenic	medium
dmN@`E@HRfUwrnF`PI`@`	m2	pattern	mutagenic	medium
dk\L@@R\bbTTTU[mMjBhB@B	m2	pattern	mutagenic	medium
fbmAR@HHqhH@cIIKDeMEhdlIUgIrm@DM@`D@A@	m2	pattern	mutagenic	medium
foAP@@@NrJJIHqIYgCV`HH@H@@`	m2	pattern	mutagenic	medium
dcLL@@ETfYUUnZYjZ@H	m2	pattern	mutagenic	medium
dcn@@@rIQQJH|J{p@@@@D	m2	pattern	mutagenic	medium
daF@@@RZW[jii@H	m2	pattern	mutagenic	medium
diVL@DBnRYYbZfZjj`B	m2	pattern	mutagenic	medium
fHgPAa@	m2	pattern	mutagenic	medium
gC`DAbZHRVhB	m2	pattern	mutagenic	medium
gCaHLHaIZPLDErP	m2	pattern	mutagenic	medium
eMPBcXLJyH	m2	pattern	mutagenic	medium
gCahHlHROTA@	m2	pattern	mutagenic	medium
eOHBNZ`pge@	t1	pattern	tumorigenic	high
eFDBcA@	t1	pattern	tumorigenic	high
eFhHbayP	t1	pattern	tumorigenic	high
gFy@DDfXujhCAF|f@	t1	pattern	tumorigenic	high
fHcpAa@	t1	pattern	tumorigenic	high
eMPBchLDnR	t1	pattern	tumorigenic	high
eMBBHRZCAKd`	t1	pattern	tumorigenic	high
eFJHbHpXI@	t1	pattern	tumorigenic	high
gCa@@dkHFBbyL	t1	pattern	tumorigenic	high
eMJDbDf``	t1	pattern	tumorigenic	high
eMHAIdLF^P	t1	pattern	tumorigenic	high
gJXHD@aIUj@pHVOI@	t1	pattern	tumorigenic	high
gGY@BDeVj`LJHm^P`	t1	pattern	tumorigenic	high
eMPBcTH	t1	pattern	tumorigenic	high
gCd@ADkj@pTWDL	t1	pattern	tumorigenic	high
deTH`ABHRVUunh@J@B	t1	pattern	tumorigenic	high
didL@@SdfU{aZjj@H	t1	pattern	tumorigenic	high
diDD@@QIeuZjh@pkJ[ayA@	t1	pattern	tumorigenic	high
gOy@HDfUk`@@H	t1	pattern	tumorigenic	high
gJ\@ADe\u@XKGd`	t1	pattern	tumorigenic	high
deV@@@Rffeijjj`CClJfxYy@@	t1	pattern	tumorigenic	high
deVH`NdLQIe]ZZ@Bd@LFALJny@`	t1	pattern	tumorigenic	high
gOx@@drm\@@A`Qb~IT	t1	pattern	tumorigenic	high
gF|@AbeJfuU@P	t1	pattern	tumorigenic	high
dmN@@@rJJIQEneX@@@@B	t1	pattern	tumorigenic	high
difH@BAIfuxV`@@C@j[ayF@	t1	pattern	tumorigenic	high
